drawing_id,drawing_number,drawing_name
143,K-MD-10295,1/2 - 1 LITER PRIMARY BAG SLITTER ASSEMBLY
144,K-10295-1,1/2 - 1 LITER PRIMARY BAG SLITTER DETAILS
145,K-MD-5284-10$1,1/2 & 1 LTR. FILL PORT FEEDER ASSEMBLY  B.M.#15
146,K-MD-5284-10$2,1/2 & 1 LTR. FILL PORT FEEDER ASSEMBLY  B.M.#15
147,H-MD-22120,1/2 Liter Life Care MQ Test Equipment General Arrangement
148,E-9317-10-13-8,"1/2"" 8 PLACE MANIFOLD"
149,E-9417-10-13-8,"1/2"" 8 PLACE MANIFOLD"
150,71419-64,"1/2"" Pipe coupling (P/N only, see K-MD-71419)"
151,E-8112-3,"1/4 BLADE HOLDER"""
152,B-1199-46,1/5 PITCH 12 TOOTH PULLEY
153,B-9317-50-2-2-9,10.25 INCH PANEL BRACKET
154,B-9317-50-2-2-12,10.75 INCH PANEL BRACKET
155,H-5088-317-2,100 ML PART FILL FOR ECS CONTAINER (CSP)
156,E-T-1-81,100 US GAL. SS DSW TANK
157,K-AU-6-G000,"100% PERMIT SET JUNE 8, 2018 20670005, ICU BAG FAB LINES 24 & 25 (BSA #G000)"
158,D-51-7585,1000ML AMINOSYN FOR CANADA TEMPLATE
159,D-51-7549,1000ML AMINOSYN TEMPLATE
160,E-5686-26,1000ML BOTTOM INSERT FOR VISIV
161,H-5088-216-22,1000ML CENTER DIE (CSP) (PN 121311)
162,D-51-7327,1000ML EMPTY FLEX TEMPLATE
163,D-51-7490,1000ML EMPTY SYSTEM III TEMPLATE
164,D-51-7463,1000ML FLEX FFS OVERWRAP TEMPLATE
165,D-51-7372,"1000ML FMC CAPD OVERWRAP (STYLE F"")TEMPLATE"""
166,D-51-7374,"1000ML FMC OVERWRAP (STYLE N"")TEMPLATE"""
167,D-51-7333,1000ML HEAVY DEXTROSE TEMPLATE
168,H-51-7324,1000ML HEAVY DEXTROSE TEMPLATE
169,D-51-7443,1000ML HEPARIN DESIGNER BAG TEMPLATE
170,D-51-7355,1000ML HEPARIN/DESIGNER BAG TEMPLATE
171,D-51-7322,1000ML IRR AND CAPD I TEMPLATE
172,D-51-7483,1000ML IRR FLEX TEMPLATE
173,D-51-7488,1000ML IRR/PLEGISOL TEMPLATE
174,D-51-7055,1000ML IRRIGATION TEMPLATE
175,D-51-7050,1000ML LC 1 COLOR PRINT TEMPLATE
176,D-51-7091,1000ML LC 1 OR 2 COLOR PRINT TEMPLATE
177,MD-8321,1000mL LOW AIR VOLUME TESTER
178,D-51-7511,1000ML NUTRIMIX MACRO EMPTY TEMPLATE
179,D-51-7471,"1000ML OVERWRAP (STYLE W"")TEMPLATE"""
180,D-51-7475,"1000ML PLEGISOL OVERWRAP (STYLE N"")TEMPLATE"""
181,D-51-7458,1000ML PLEGISOL TEMPLATE
182,E-5686-27,1000ML TOP INSERT FOR VISIV
183,D-51-7572,1000ML UNIVERSAL OVERWRAP NON WICKET (E-VIEW ONLY)
184,B-5358-38-11,1000ML WETTED AREA POLYOLEFIN CONTAINER
185,K-5206-43-1,100ML  DIE PLATEN
186,D-51-7493,"100ML (4:1) FMC OVERWRAP (STYLE R"")TEMPLATE"""
187,D-51-7472,"100ML (4:1) OVERWRAP (STYLE U"")TEMPLATE"""
188,D-51-7381,"100ML 4 IN 1 FMC OVERWRAP (STYLE R"")TEMPLATE"""
189,D-51-7595,"100ML 4:1 WINDOWENDOPEN""FOILOW"""
190,D-51-7563,100ML CR3 SINGLE PORT SHORT TUBE TEMPLATE
191,H-MD-5358-22,100ML FRAME & PLATEN ASSEMBLY BAG MAKER #4 SEALING HEAD
192,D-51-7449,100ML PART FILL FLEX 1 PORT PVC TEMPLATE
193,D-51-7065,100ML PART FILL FLEX TEMPLATE
194,H-5088-324-2,100ML PART FILL FOR ECS DIE
195,D-51-7580,100ML PART FILL SINGLE LONG TUBE TEMPLATE
196,D-51-7546,100ML PF 1 PORT FOR BAYER WITH LONG TUBE TEMPLATE
197,D-51-7560,100ML SHORT STYLE CR3 SINGLE SHORT TUBE
198,H-5358-40-01,100ML SINGLE PORT DIAHRAGM ARTWORK
199,H-5358-40-00,100ML SINGLE PORT SPECIFICATION & SUB ASSEMBLY
200,D-3647,"102 ODX24'-83/8""STEAMACCUMULATOR(BLUELINE)"""
201,K-12119,"107 1/4"" ID X 32'0"" SSL HORIZ. AUTOCLAVE W/VERT. SLIDE RAPIDOORS (D11585)"
202,K-12519,"108"" O.D. FIXED SADDLE W/HINGE CONNECTION (C10467)"
203,B-9317-50-2-2-8,11.0 INCH PANEL BRACKET
204,B-9317-50-2-2-6,11.5 INCH PANEL BRACKET
205,B-9317-50-2-2-7,11.5 INCH PANEL BRACKET
206,B-AU-1-P2930$7,"1-1/2 SPARGE LINE A, ADDV HOLDING TANK TA5800 GASING PANEL"
207,B-AU-1-P2930$8,"1-1/2 SPARGE LINE B, ADDV HOLDING TANK TA5700 GASING PANEL"
208,B-AU-1-P2930$12,"1-1/2 U-BEND,ADDVHOLDINGTANKSGASINGPANEL"""
209,B-11206-29-7,1100 NIP ROLLER FDA COAT
210,B-11206-90,110-60 SAPPHIRE DUPLEX UNWIND - [T1] UNWIND NDS CUBICLE I/O
211,B-11206-95,110-60 SAPPHIRE DUPLEX UNWIND - [T2] UNWIND DS CUBICLE I/O
212,B-11206-98,110-60 SAPPHIRE DUPLEX UNWIND - [T2] UNWIND DS CUBICLE I/O
213,B-11206-88,110-60 SAPPHIRE DUPLEX UNWIND - BOTTOM  UNWIND WEB GUIDER
214,B-11206-85,110-60 SAPPHIRE DUPLEX UNWIND - BOTTOM UNWIND RIGHT CHUCK DR
215,B-11206-86,110-60 SAPPHIRE DUPLEX UNWIND - BOTTOM UNWIND RIGHT CHUCK DR
216,B-11206-102,110-60 SAPPHIRE DUPLEX UNWIND - COMPONENT MOUNTING BOARD
217,B-11206-89,"110-60 SAPPHIRE DUPLEX UNWIND - E-STOP, BRAKE CONTROL & ACTU"
218,B-11206-96,110-60 SAPPHIRE DUPLEX UNWIND - ET200L INPUTS (IW90)
219,B-11206-97,110-60 SAPPHIRE DUPLEX UNWIND - ET200L INPUTS (IW92)
220,B-11206-93,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC EXPANSION I/O
221,B-11206-94,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC EXPANSION I/O
222,B-11206-91,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC INPUTS (IW80)
223,B-11206-99,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC INPUTS (IW94)
224,B-11206-92,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC OUTPUTS (QW80)
225,B-11206-100,110-60 SAPPHIRE DUPLEX UNWIND - ET200L-SC OUTPUTS (QW94)
226,B-11206-101,110-60 SAPPHIRE DUPLEX UNWIND - HEAT SEAL UNIT
227,B-11206-103,110-60 SAPPHIRE DUPLEX UNWIND - REWIND CONNECTION TERMINALS
228,B-11206-104,110-60 SAPPHIRE DUPLEX UNWIND - TERMINAL LIST
229,B-11206-82,110-60 SAPPHIRE DUPLEX UNWIND - TOP UNWIND LEFT CHUCK DRIVE
230,B-11206-87,110-60 SAPPHIRE DUPLEX UNWIND - TOP UNWIND WEB GUIDER
231,B-11206-81,110-60 SAPPHIRE DUPLEX UNWIND - TRANSFORMERS & SUPPLIES
232,B-11206-84,110-60 SAPPHIRE DUPLEX UNWIND - UNWIND LEFT CHUCK DRIVE
233,B-11206-83,110-60 SAPPHIRE DUPLEX UNWIND - UNWIND RIGHT CHUCK DRIVE
234,B-11206-71,110-60 SAPPHIRE REWIND SECTION - 16 DIGITAL INPUTS
235,B-11206-72,110-60 SAPPHIRE REWIND SECTION - 16 DIGITAL OUTPUTS
236,B-11206-63,110-60 SAPPHIRE REWIND SECTION - BOTTOM REWIND DRIVE
237,B-11206-56,110-60 SAPPHIRE REWIND SECTION - COOLING FAN/POWER SUPPLIES
238,B-11206-57,110-60 SAPPHIRE REWIND SECTION - COOLING FAN/POWER SUPPLIES
239,B-11206-76,110-60 SAPPHIRE REWIND SECTION - CUSTOMER CONNECTIONS
240,B-11206-61,110-60 SAPPHIRE REWIND SECTION - MAIN DRIVE
241,B-11206-55,110-60 SAPPHIRE REWIND SECTION - PHASE MOTORS
242,B-11206-73,110-60 SAPPHIRE REWIND SECTION - PLC 16 DIGITAL OUTPUTS
243,B-11206-74,110-60 SAPPHIRE REWIND SECTION - PLC 16 DIGITAL OUTPUTS
244,B-11206-75,110-60 SAPPHIRE REWIND SECTION - PLC 2 ANALOGUE INPUTS
245,B-11206-65,110-60 SAPPHIRE REWIND SECTION - PLC RACK LAYOUT
246,B-11206-54,110-60 SAPPHIRE REWIND SECTION - POWER SUPPLIES
247,B-11206-64,110-60 SAPPHIRE REWIND SECTION - ROLL PUSHOFF DRIVE
248,B-11206-78,110-60 SAPPHIRE REWIND SECTION - TERMINAL LIST
249,B-11206-79,110-60 SAPPHIRE REWIND SECTION - TERMINAL LIST
250,B-11206-62,110-60 SAPPHIRE REWIND SECTION - TOP REWIND DRIVE
251,B-11206-77,110-60 SAPPHIRE REWIND SECTION - UNWIND CONNECTION DIAGRAM
252,B-5286-15-39,12 DEGREE SENSOR FLAG
253,K-MD-5108-4,12 POCKET AUTOCLAVE TRAY
254,E-3112-6-1-1,12 TOOTH DRIVE GEAR
255,E-5219,12 TOOTH DRIVE GEAR
256,E-9104-1-1,12 TOOTH DRIVE GEAR
257,E-MD-3112-6-1,12 TOOTH DRIVE GEAR ASSEMBLY
258,E-MD-5119-1,12 TOOTH DRIVE GEAR ASSEMBLY
259,E-MD-9104-1,12 TOOTH DRIVE GEAR ASSEMBLY
260,E-3112-6-20,12 TOOTH IDLER GEAR
261,E-9104-20,12 TOOTH IDLER GEAR
262,K-12197-12-5,120VAC CONDITIONED POWER DISTRIBUTION
263,E-11113-99-1-6,120VAC DISTRIBUTION
264,H-106900-E007,120VAC POWER WIRING
265,C-430J-161,12X12 FEEDER & MOTOR BLANK 304 S.S. CONSTRUCTION
266,H-T-14-3,1400 U.S.GAL WATER HOLDING TANK
267,R-MD-5109-2-18,"14'-6 VESSELSECTION"""
268,H-5325-99-96,14KW POWER SUPPLY
269,294123-1,14X14 FEEDER AND MOTOR W/8 VANE BEVELED ROTOR
270,430K-1157,14X14 MODEL 'D' DISCHARGE ADAPTOR
271,B-5345-30-1-5-10,15 DEGREE WEDGE
272,B-7919-2-12-7,15 DEGREE WEDGE
273,B-5293-1-1-8-4-2,15 DEGREE WEDGE
274,K-MD-BF1-57$1,15 KW GENERATOR WITH SELF TEST ARC SUPPRESSOR
275,K-5088-3-53,15 KW POWER SECTION
276,B-5363-55,15 PSI DRY TESTER TIMING DIAGRAM
277,B-5363-54,15 PSI TESTER LIGHT SCHEMATIC
278,H-TH-1-32,150 U.S. GALL. S.S. ELO SURGE TANK
279,E-SK-0874-9,150 US GAL. S.S. VERTICAL DW TANK
280,E-5283-18,"150, 200/250, 250 & 500 M.L. INSERT"
281,D-51-7074,150ML 1 COLOR PRINT TEMPLATE
282,D-51-7545,150ML/250ML 1 PORT FOR BAYER EMPTY CONT. LONG TUBE TEMPLATE
283,D-51-7066,150ML/250ML LC IIA TEMPLATE
284,D-51-7576,150ML/250ML PARTFILL ONE PORT CONTAINER
285,B-5328-08-98,1515 FRAME RAIL 14.5
286,B-5325-08-98,1515 FRAME RAIL 14.5
287,B-BF13-39-98,1515 FRAME RAIL 14.5
288,B-5328-08-96,1515 FRAME RAIL 7.5
289,B-5325-08-96,1515 FRAME RAIL 7.5
290,B-BF13-39-96,1515 FRAME RAIL 7.5
291,B-BF13-39-97,1515 FRAME RAIL 9.5
292,B-5328-08-97,1515 FRAME RAIL 9.5
293,B-5325-08-97,1515 FRAME RAIL 9.5
294,H-5325-99-97,15KW ARC SUPPRESSOR
295,H-MD-5293-16$3,15KW ARC SUPPRESSOR
296,K-5325-99-95,15KW GENERATOR WITH SELF TEST ARC SUPPRESSOR
297,H-5325-99-98,15KW OSCILLATOR
298,H-MD-5293-16$4,15KW OSCILLATOR
299,H-MD-5293-16$2,15KW POWER SUPPLY
300,H-MD-5335-43,15KW SOLID STATE ARC SUPPRESSOR
301,E-5214-1-2$5,16 POINT DISCRETE OUTPUT SLOT 5 I/O WIRING DIAGRAM
302,E-5214-1-2$6,16 POINT DISCRETE OUTPUT SLOT 6 I/O WIRING DIAGRAM
303,E-5214-1-2$7,16 POINT DISCRETE OUTPUT SLOT 7 I/O WIRING DIAGRAM
304,B-11206-119,16 TOOTH IDLER PULLER STUB END
305,K-AU-0-M009,"16"" WATER APPROACH MAIN"
306,K-AU-0-M010,"16"" WATER APPROACH MAIN"
307,B-6319-1,16-500 NALGENE FUNNEL
308,B-6319-2,16-500 NALGENE FUNNEL CAP
309,B-6319-3,16-500 NALGENE INTERNAL SEAL
310,A-5088-23-55$1,17 PIN CONNECTOR WIRING DIAG. 4KW GEN. P.S.
311,A-5088-23-55$3,17 PIN CONNECTOR WIRING DIAG. 4KW GEN. P.S.
312,H-T-170-1-C,"17,500 US GAL. C.A. RECEIVER"
313,H-T-170-1-A,17000 U.S.GAL C.A. RECEIVER
314,C14R-81-037$3,1987 CITY-APPROVED MAIN ENTRANCE PLAN
315,C14R-81-037$4,1987 CITY-APPROVED NORTH PARKING LOT SITE PLAN
316,C14R-81-037$1,1987 CITY-APPROVED SITE SURVEY
317,C14R-81-037$2,1987 CITY-APPROVED SITE SURVEY
318,K-AU-0-PRA-1,1988 CITY-APPROVED SITE MASTER PLAN
319,B-5335-6-7,1-LTR DIE CLAMP
320,H-6193-31-1,1NEUMATIC SCHEMATIC BOX 2A
321,MP-33991-302,1-P8-BPDP#2
322,MP-33991-105,1-P8-BPDP#2 WIRING DIAGRAM
323,H-MD-5193-9,2 & 3 LITER ADDPORT NO SCRAP DIE ASS'Y
324,H-MD-5193-7,2 & 3 LTR ADDPORT DIE ASSEMBLY
325,B-BF11-07-108,2 & 3 LTR PUNCH
326,B-6902-2,"2 AND3""UHMWROLLERS"""
327,K-MD-5088-305-2,2 LITER PERIMETER DIE
328,K-5088-305-2,2 LITER PERIMETER DIE (CSP)
329,B-E90520,2 PORT (PF & IRR) 3 & 7 PSI TESTER ELEC. AS-BUILT
330,B-90620,2 PORT (PF & IRR) 3 & 7 PSI TESTER FIXTURE AS-BUILT
331,B-MD-90420,2 PORT (PF & IRR) 3 & 7 PSI TESTER PANEL AS-BUILT
332,B-AU-1-P2837,2 SOL FROM SP2005(PORT595)TO BAY 5 (WELDMAP)
333,B-AU-1-P2836$1,2 SOL FROM SP2005(PORT596) INTERSTITIAL PIPING TO FILLBAY 7 (WELDMAP)
334,B-AU-1-P2836$2,"2 SOL FROM SP2005(PORT596) TO FILLBAY 7, FILLER 7 BUMP TANK(AST12700)   (WELDMAP)"
335,B-AU-1-P2836$3,"2 SOL FROM SP2005(PORT596) TO FILLBAY 7, FILLER 8 BUMP TANK(AST12800)   (WELDMAP)"
336,B-AU-1-P2834,2 SOL FROM SP2005(PORT596)PRIMARY RUN TO BAY7 (WELDMAP)
337,B-AU-1-P2835,2 SOL FROM SP2005(PORT596)TO FILLBAY 7 (WELDMAP)
338,B-AU-1-P2832,2 SOLN FROM SP2005(PORT597)FUTURE(WELDMAP)
339,K-MD-5399-50$2,2 UP/15PSI TESTER CABINET ASSEMBLY (SHT 2 OF 2)
340,K-MD-5399-50$1,2 UP/15PSI TESTER CABINET ASSEMBLY(SHT 1 OF 2)
341,B-MD-5088-248,2 ZONE STERLCO
